AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT,ORG TYPE
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$83,972",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$4,607",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$55,008",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$35,053",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$33,001",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$2,438",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$26,436",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$3,274",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$22,630",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$26,867",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$17,294",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$15,906",State Univ/College
